FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201901,1,0,36805,791368,"D","01/01/2019 00:00:00",,"","Outside/Open Areas",201901
201901,1,0,36806,791368,"D","01/01/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,4,0,36858,791649,"I","01/04/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,5,0,37229,792214,"D","01/05/2019 00:00:00",40,"M","Outside/Open Areas",201901
201901,10,0,36834,792656,"I","01/10/2019 00:00:00",65,"M","Vehicle/Towed Trailer",201901
201901,1,0,36839,792690,"I","01/01/2019 00:00:00",50,"M","Vehicle/Towed Trailer",201901
201901,12,0,37408,793101,"I","01/12/2019 00:00:00",73,"M","Vehicle/Towed Trailer",201901
201901,21,0,36851,793453,"I","01/21/2019 00:00:00",34,"F","Vehicle/Towed Trailer",201901
201901,22,0,36857,793953,"I","01/22/2019 00:00:00",52,"M","Outside/Open Areas",201901
201901,17,0,37204,794220,"D","01/17/2019 00:00:00",26,"M","Outside/Open Areas",201901
201901,17,0,37205,794220,"D","01/17/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,25,0,37230,794267,"D","01/25/2019 00:00:00",39,"M","Outside/Open Areas",201901
201901,21,0,37231,794275,"D","01/21/2019 00:00:00",50,"M","Outside/Open Areas",201901
201901,23,0,37222,794653,"I","01/23/2019 00:00:00",69,"M","Outside/Open Areas",201901
201901,26,0,37223,794955,"I","01/26/2019 00:00:00",28,"M","Outside/Open Areas",201901
201901,28,0,37225,795005,"I","01/28/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,28,0,37226,795005,"I","01/28/2019 00:00:00",21,"F","Outside/Open Areas",201901
201901,20,0,37232,795342,"D","01/20/2019 00:00:00",,"","Under Tree",201901
201901,30,0,37246,795779,"D","01/30/2019 00:00:00",70,"M","Outside/Open Areas",201901
201901,30,0,37247,795779,"D","01/30/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,12,0,37269,796115,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37270,796116,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37271,796117,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37272,796118,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,6,0,37274,796277,"D","01/06/2019 00:00:00",32,"M","Vehicle/Towed Trailer",201901
201901,7,0,37275,796413,"D","01/07/2019 00:00:00",,"M","In Water",201901
201901,19,0,37404,797311,"I","01/19/2019 00:00:00",63,"M","Outside/Open Areas",201901
201901,12,0,37290,797341,"D","01/12/2019 00:00:00",18,"M","In Water",201901
201901,16,0,37294,797421,"D","01/16/2019 00:00:00",,"M","Outside/Open Areas",201901
201901,16,0,37295,797452,"I","01/16/2019 00:00:00",25,"M","Vehicle/Towed Trailer",201901
201901,16,0,37296,797455,"I","01/16/2019 00:00:00",52,"M","Outside/Open Areas",201901
201901,2,0,37311,797560,"I","01/02/2019 00:00:00",45,"F","Vehicle/Towed Trailer",201901
201901,22,0,37310,797640,"I","01/22/2019 00:00:00",62,"F","Vehicle/Towed Trailer",201901
201901,29,0,37308,797646,"D","01/29/2019 00:00:00",82,"M","Outside/Open Areas",201901
201901,21,0,37369,798982,"I","01/21/2019 00:00:00",71,"F","Outside/Open Areas",201901
201901,30,0,37418,800125,"D","01/30/2019 00:00:00",46,"F","Outside/Open Areas",201901
201901,30,0,37410,800956,"D","01/30/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,29,0,37413,801733,"I","01/29/2019 00:00:00",22,"M","Vehicle/Towed Trailer",201901
201901,21,0,37395,802239,"I","01/21/2019 00:00:00",74,"M","Vehicle/Towed Trailer",201901
201901,25,0,37394,802250,"D","01/25/2019 00:00:00",35,"M","Outside/Open Areas",201901
201901,18,0,37398,802480,"I","01/18/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,8,0,37399,802481,"D","01/08/2019 00:00:00",50,"M","Boating",201901
201901,8,0,37400,802481,"D","01/08/2019 00:00:00",48,"M","Boating",201901
201901,8,0,37401,802481,"D","01/08/2019 00:00:00",50,"M","Boating",201901
201901,27,0,37405,802738,"I","01/27/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,9,0,37407,802751,"D","01/09/2019 00:00:00",29,"M","Outside/Open Areas",201901
201901,16,0,37421,803882,"D","01/16/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,3,0,37422,804082,"I","01/03/2019 00:00:00",35,"F","Vehicle/Towed Trailer",201901
201901,3,0,37423,804082,"I","01/03/2019 00:00:00",35,"M","Vehicle/Towed Trailer",201901
201901,3,0,37424,804082,"I","01/03/2019 00:00:00",10,"F","Vehicle/Towed Trailer",201901
201901,27,0,37431,804274,"I","01/27/2019 00:00:00",,"M","Outside/Open Areas",201901
201901,24,0,37430,804274,"I","01/24/2019 00:00:00",78,"F","Vehicle/Towed Trailer",201901
201901,31,0,37437,804387,"D","01/31/2019 00:00:00",48,"F","Outside/Open Areas",201901
201901,31,0,37438,804387,"D","01/31/2019 00:00:00",59,"M","Outside/Open Areas",201901
201901,31,0,37436,804387,"D","01/31/2019 00:00:00",65,"M","Permanent Home",201901
201901,31,0,37439,804388,"D","01/31/2019 00:00:00",60,"F","Permanent Home",201901
201901,2,0,37445,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,2,0,37446,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,2,0,37447,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,31,0,37440,804490,"D","01/31/2019 00:00:00",69,"M","Outside/Open Areas",201901
201901,8,0,37444,804570,"D","01/08/2019 00:00:00",58,"F","Outside/Open Areas",201901
201901,30,0,37470,804847,"D","01/30/2019 00:00:00",18,"M","Outside/Open Areas",201901
201901,30,0,37467,804848,"D","01/30/2019 00:00:00",72,"M","Outside/Open Areas",201901
201901,30,0,37468,804848,"D","01/30/2019 00:00:00",67,"M","Outside/Open Areas",201901
201901,30,0,37476,804852,"D","01/30/2019 00:00:00",18,"M","Outside/Open Areas",201901
201901,9,0,37473,804863,"D","01/09/2019 00:00:00",64,"M","In Water",201901
