YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201901,132687,793973,1,16.01,"NW","NORTH JETTY",29.54,-94.9109,2932400,9454654
201901,132687,793974,1,25.04,"WSW","SARGENT",28.5911,-95.9826,2835466,9558956
201901,132689,793976,1,1.65,"E","ELLIOTT CORNER",37.47,-119.74,3728200,11944400
201901,132692,794669,1,3.07,"SE","BEVERLY HILLS",28.8859,-82.4274,2853154,8225644
201901,132692,794670,1,.2,"SW","CLEARWATER BEACH",27.9777,-82.8321,2758662,8249926
201901,132692,794930,1,2.82,"NNW","MEREDITHS",29.5071,-82.6397,2930426,8238382
201901,132692,794931,1,0,"N","CENTER HILL",28.65,-82,2839000,8200
201901,132692,794932,1,1.38,"S","BELSPUR",27.3,-82.45,2718000,8227000
201901,132692,794933,1,2.15,"ENE","ELLENTON",27.5313,-82.4973,2731878,8229838
201901,132794,794542,1,7.77,"NW","OLD TAMPA BAY",27.9126,-82.6856,2754756,8241136
201901,132794,794543,1,1.38,"S","LOWER TAMPA BAY",27.6,-82.65,2736000,8239000
201901,132794,794544,1,6.77,"W","LOWER TAMPA BAY",27.61,-82.76,2736600,8245600
201901,132794,794545,1,8.2,"NNE","OLD TAMPA BAY",27.9633,-82.54,2757798,8232400
201901,132794,794546,1,5.85,"W","MIDDLE TAMPA BAY",27.7685,-82.6257,2746110,8237542
201901,132794,794547,1,1.46,"SSE","LONGBOAT KEY",27.4015,-82.5586,2724090,8233516
201901,132805,803195,1,.59,"W","PLEASANT HILL",31.42,-85.68,3125200,8540800
201901,132805,803196,1,1.18,"W","LEVEL PLAINS",31.3,-85.78,3118000,8546800
201901,132805,803197,1,0,"N","LOWE ARMY HELIPORT",31.35,-85.75,3121000,8545000
201901,132806,803198,1,0,"N","SANDESTIN",30.37,-86.33,3022200,8619800
201901,132806,803199,1,3.05,"WNW","PONCE DE LEON",30.73,-85.98,3043800,8558800
201901,132806,803200,1,1.08,"SW","SWEET GUM HEAD",30.97,-85.9641,3058200,8557846
201901,132806,803200,2,1.57,"NNE","LEONIA",30.9304,-85.9984,3055824,8559904
201901,132806,803200,3,2.72,"NNW","HUDSON",30.8939,-85.9634,3053634,8557804
201901,132806,803200,4,1.68,"SW","NEW HOPE",30.9338,-85.8913,3056028,8553478
201901,133354,797911,5,.5,"WSW","BROOKPORT",37.117,-88.6383,377020,8838298
201901,133354,797913,1,0,"N","OLMSTED",37.18,-89.08,3710800,894800
201901,133354,797913,2,1.97,"ESE","NEW GRAND CHAIN",37.2349,-88.9896,3714094,8859376
201901,133354,797913,3,2.54,"SE","NEW GRAND CHAIN",37.2223,-88.9897,3713338,8859382
201901,133354,797913,4,.47,"SSE","OLMSTED",37.1742,-89.0757,3710452,894542
201901,133354,797914,1,2.42,"ESE","CAIRO",36.9807,-89.1434,3658842,898604
201901,133354,797914,2,.74,"ESE","CAIRO",36.9975,-89.1669,3659850,8910014
201901,133354,797914,3,1.25,"E","CAIRO",36.9997,-89.1573,3659982,899438
201901,133354,797914,4,2.5,"ESE","CAIRO",36.9876,-89.1374,3659256,898244
201901,133354,797916,1,0,"N","CAVE IN ROCK",37.47,-88.17,3728200,8810200
201901,133354,797916,2,.55,"SE","CAVE IN ROCK",37.4636,-88.164,3727816,889840
201901,133354,797916,3,1.35,"ESE","ELIZABETHTOWN",37.4433,-88.2768,3726598,8816608
